round,number,option_1,option_2,option_3,option_4,option_5
77,1,철제 무기로 정복 활동을 벌였다.,소를 이용한 깊이갈이가 일반화되었다.,많은 인력을 동원하여 고인돌을 축조하였다.,"주먹도끼, 찍개 등의 뗀석기를 처음 제작하였다.",가락바퀴와 뼈바늘을 이용하여 옷을 만들기 시작하였다.
77,2,민며느리제라는 혼인 풍습이 있었다.,국가 중대사를 정사암에서 논의하였다.,여러 가(加)들이 별도로 사출도를 주관하였다.,"지방의 여러 성에 욕살, 처려근지 등을 두었다.",사회 질서를 유지하기 위해 범금 8조를 만들었다.
77,3,진대법의 시행 목적을 파악한다.,책화의 사회적 의미를 조사한다.,신성 구역인 소도의 기능을 알아본다.,화백 회의의 의사 결정 방식을 살펴본다.,포상 8국 전쟁이 전개되는 과정을 찾아본다.
77,4,q4a1.png,q4a2.png,q4a3.png,q4a4.png,q4a5.png
77,5,금마저에 미륵사를 창건하였다.,고흥에게 서기를 편찬하게 하였다.,지방의 22담로에 왕족을 파견하였다.,동진에서 온 마라난타를 통해 불교를 수용하였다.,장군 달기를 보내 고구려의 도살성을 점령하였다.
77,6,을지문덕이 살수에서 대승을 거두었다.,복신과 도침이 부여풍을 왕으로 추대하였다.,윤충이 군사를 이끌고 대야성을 함락시켰다.,연개소문이 정변을 일으켜 영류왕을 시해하였다.,김춘추가 당으로 건너가 군사 연합을 성사시켰다.
77,7,12월에 영고라는 제천 행사를 열었다.,주자감을 설치하여 인재를 양성하였다.,군사 조직으로 9서당 10정을 편성하였다.,기인 제도를 실시하여 지방 세력을 견제하였다.,왕족인 부여씨와 8성 귀족이 지배층을 이루었다.
77,8,수도에 서시와 남시를 설치하였다.,활구라고 불리는 은병을 주조하였다.,집집마다 부경이라는 창고가 있었다.,관료전을 지급하고 녹읍을 폐지하였다.,풍흉에 따라 9등급으로 전세를 거두었다.
77,9,안승을 보덕왕으로 봉하였다.,광평성 등의 정치 기구를 마련하였다.,외교 담판으로 강동 6주를 확보하였다.,김부를 경주의 사심관으로 임명하였다.,신라를 공격하여 경애왕을 죽게 하였다.
77,10,계백료서를 읽고 있는 관리,담배를 밭에 심고 있는 농민,조위총의 난을 진압하는 군인,진전사에서 참선하는 선종 승려,낙랑군과 교역할 덩이쇠를 주조하는 장인
77,11,별무반을 편성하였다.,화통도감을 설치하였다.,진관 체제를 실시하였다.,초조대장경을 조판하였다.,동녕부의 반환을 요청하였다.
77,12,응방의 설치와 매 서식지의 변화,시화호의 조성과 갯벌 생태계 파괴,수의 침략과 요하 일대 감염병의 유행,가죽 제품 수요 증가와 독도 강치의 멸종,을축년 대홍수의 피해와 경성부의 대응 양상
77,13,q13a1.png,q13a2.png,q13a3.png,q13a4.png,q13a5.png
77,14,신해통공의 단행 배경,명의 멸망과 소중화주의의 대두,골품제가 일상생활에 끼친 영향,울산항을 통한 아라비아 상인들과의 교류,황제국 표방 사례를 통해 본 외왕내제 의식
77,15,제왕운기를 읽고 있는 왕,만동묘 복구를 건의하는 유생,동몽선습을 공부하는 서당 학동,독서삼품과 시행을 준비하는 관리,주자소에서 계미자를 주조하는 장인
77,16,비담과 염종의 반란을 진압하였다.,만권당에서 원의 학자들과 교유하였다.,인사 행정을 담당하던 정방을 폐지하였다.,봉사 10조를 올려 시정 개혁을 건의하였다.,오월(吳越)에 사신을 보내고 검교태보의 직을 받았다.
77,17,(가) - 관군을 이끌고 묘청의 난을 진압하였다.,(가) - 시무 28조를 올려 국가 운영 방안을 제시하였다.,(나) - 법화 신앙을 바탕으로 백련 결사를 이끌었다.,(나) - 화폐 발행을 위해 주전도감 설치를 건의하였다.,"(가), (나) - 심성 도야를 강조하고 유불 일치설을 주장하였다."
77,18,(가),(나),(다),(라),(마)
77,19,"사헌부, 홍문관과 함께 3사로 불렸다.",국왕 직속 사법 기구로 반역죄 등을 다루었다.,사초와 시정기를 바탕으로 실록을 편찬하였다.,왕의 비서 기관으로 왕명의 출납을 관장하였다.,사대교린에 관한 문서를 관장하기 위해 설치되었다.
77,20,조의제문을 빌미로 무오사화가 일어났다.,세계 지도인 혼일강리역대국도지도가 제작되었다.,예악 질서의 확립을 위한 악학궤범이 완성되었다.,역대 문물 제도를 정리한 동국문헌비고가 편찬되었다.,현직 관리에게만 수조권을 지급하는 직전법이 시행되었다.
77,21,기대승과 사단칠정 논쟁을 전개하였다.,소학의 보급과 현량과 실시를 주장하였다.,기축봉사를 올려 명에 대한 의리를 내세웠다.,임진왜란의 상황 등을 담은 징비록을 저술하였다.,최초로 100리 척을 사용하여 동국지도를 제작하였다.
77,22,강홍립 부대가 사르후 전투에 참전하였다.,김종서가 두만강 일대에 6진을 개척하였다.,김시민이 진주성 전투에서 크게 승리하였다.,이종무가 왜구의 근거지인 쓰시마섬을 정벌하였다.,이완이 어영대장으로 임명되어 북벌을 준비하였다.
77,23,계해약조의 초안을 작성하는 관리,까치를 소재로 민화를 그리는 화원,세책가에서 춘향전을 빌리는 부녀자,시사(詩社)를 조직하여 활동하는 서리,송파장에서 산대놀이를 공연하는 광대
77,24,문신을 재교육하기 위한 초계문신제를 실시하였다.,각 궁방과 중앙 관서의 공노비 6만여 명을 해방하였다.,국왕의 호위와 수도 방어를 위해 금위영을 창설하였다.,각지의 농법을 작물별로 정리한 농사직설을 편찬하였다.,붕당 정치의 폐해를 경계하기 위해 탕평비를 건립하였다.
77,25,관리에게 전지와 시지가 지급되었다.,솔빈부의 말이 특산품으로 수출되었다.,관청에 물품을 조달하는 공인이 활동하였다.,"당항성, 영암이 국제 무역항으로 번성하였다.","삼한통보, 해동통보 등의 화폐가 발행되었다."
77,26,양명학을 연구하여 강화학파를 형성하였다.,기기도설을 참고하여 거중기를 설계하였다.,역대 명필을 연구하여 추사체를 창안하였다.,규장각 검서관으로 무예도보통지 편찬에 참여하였다.,지부복궐척화의소를 올려 왜양일체론을 주장하였다.
77,27,이괄이 반란을 일으킨 근거지를 알아본다.,김정희가 세한도를 그린 유배지를 검색한다.,정약전이 자산어보를 저술한 곳을 조사한다.,강주룡이 고공 농성을 벌인 을밀대의 위치를 찾아본다.,김윤후가 노비 등을 이끌고 몽골군을 격퇴한 장소를 파악한다.
